Id,Date,Open,High,Low,Close,Volume,Stock_Trading
243,1/6/2016,40320,41070,39850,40170,808800,32633905000
244,1/5/2016,40360,41230,40110,40430,817500,33186218000
245,1/4/2016,42000,42200,40450,40650,857100,35244549000
246,12/30/2015,42300,42700,41950,42640,388000,16462625000
247,12/29/2015,42240,42780,41860,42160,500600,21137050000
248,12/28/2015,43240,43350,42300,42590,331200,14120319000
249,12/25/2015,43000,43540,42850,43140,348500,15056076000
250,12/24/2015,43920,43920,43030,43050,459000,19913279000
251,12/22/2015,43940,44000,43120,43230,396800,17214972000
252,12/21/2015,43650,44240,42860,43750,683300,29724913000
253,12/18/2015,45300,47120,44030,44070,1312600,59257297000
254,12/17/2015,45490,45790,44890,45180,929900,42036604000
255,12/16/2015,44660,44960,44010,44520,651600,28924117000
256,12/15/2015,44800,45050,43880,43980,499900,22205966000
257,12/14/2015,44540,44790,44310,44520,624100,27799471000
258,12/11/2015,45190,46270,45190,45940,1498900,68078769000
259,12/10/2015,45650,45850,45300,45440,562700,25605427000
260,12/9/2015,47110,47300,46290,46610,447700,20905430000
261,12/8/2015,47240,47960,47030,47160,386200,18316612000
262,12/7/2015,47470,47860,47340,47520,394400,18753411000
263,12/4/2015,47110,47660,46560,46720,700800,32918190000
264,12/3/2015,48110,48310,47170,48210,916600,43883509000
265,12/2/2015,49600,49640,48910,48980,514800,25301849000
266,12/1/2015,49880,50080,49400,49890,616300,30650355000
267,11/30/2015,49610,49980,49430,49780,487300,24244489000
268,11/27/2015,49390,49840,49250,49640,489800,24266923000
269,11/26/2015,48720,49480,48710,49330,498000,24514678000
270,11/25/2015,48240,48500,47810,48480,404900,19534608000
271,11/24/2015,48150,48320,47980,48230,317200,15283630000
272,11/20/2015,48400,48500,47890,48210,420200,20239173000
273,11/19/2015,48210,48870,47730,48350,713500,34489907000
274,11/18/2015,48000,48400,47450,47480,585200,27997898000
275,11/17/2015,47330,47650,46950,47400,645100,30544838000
276,11/16/2015,46460,46770,46300,46440,474700,22062321000
277,11/13/2015,47700,47820,46900,47490,726600,34504163000
278,11/12/2015,47350,47890,47290,47880,376100,17919981000
279,11/11/2015,47560,48200,47300,47420,542700,25872059000
280,11/10/2015,46550,47650,46420,47600,574400,27124645000
281,11/9/2015,46390,46880,46250,46720,737700,34441056000
282,11/6/2015,44920,45430,44720,45400,499900,22544492000
283,11/5/2015,44600,44920,44160,44770,482000,21505336000
284,11/4/2015,43920,44870,43690,44350,688800,30624145000
285,11/2/2015,43760,44470,43150,43220,442500,19257189000
286,10/30/2015,43400,44560,42930,44380,734900,32306003000
287,10/29/2015,44470,44480,42960,43420,524600,22838850000
288,10/28/2015,44060,44190,43800,44130,357800,15751162000
289,10/27/2015,44150,44280,43650,43780,524300,23030483000
290,10/26/2015,44480,44500,43910,44000,451100,19925066000
291,10/23/2015,43920,44290,43730,43870,880200,38762126000
292,10/22/2015,43200,43700,43010,43220,468300,20255854000
293,10/21/2015,43050,44080,42990,43810,615500,26819139000
294,10/20/2015,43310,43520,42980,43200,312800,13513928000
295,10/19/2015,43060,43580,42940,43130,585400,25346722000
296,10/16/2015,43330,43680,43080,43400,570300,24740505000
297,10/15/2015,42300,43290,41830,42870,748300,32008133000
298,10/14/2015,42000,43530,41650,42730,1391000,59325625000
299,10/13/2015,43600,43600,41970,42260,1425600,60547899000
300,10/9/2015,44440,44910,43710,43900,2522700,1.12E+11
301,10/8/2015,49380,49480,48350,48640,552800,27008785000
302,10/7/2015,49750,50190,48910,49800,667900,33162462000
